Execute,TestScenario,TestCase,Iteration,Status,Browser,BrowserVersion,Platform
true,API,Get-Brand,Single,Passed,No Browser,Default,Any
true,API,Post-Payment,Single,Passed,No Browser,Default,Any
false,Browser,Purchase a Tool,Single,Passed,Chromium,Default,Any
false,Mobile,Purchase a Tool,Single,Passed,Android,Default,Any
